Latitude,Longitude
-37.815380042074764,144.95293084277293
-37.815380042074764,144.95293084277293
-37.815380042074764,144.95293084277293
-37.81409476658855,144.95355771351285
-37.815191200759244,144.95328434177082
-37.81412837345244,144.95438493166534
-37.81469387455215,144.95612536509017
-37.81381841143909,144.9568863935638
-37.81381841143909,144.95791639356378
-37.81565015385969,144.9575934079533
-37.81662558471078,144.9572951888145
-37.817035800585394,144.95610383540924
-37.81879646626672,144.9564780764527
-37.81859188180831,144.95793377051373
-37.81859188180831,144.95793377051373
-37.81859188180831,144.95793377051373
-37.8172720828507,144.95795680769024
-37.8172720828507,144.95795680769024
-37.8172720828507,144.95795680769024
-37.8184965418799,144.9571616346991
-37.81762613840307,144.95786647353708
-37.817253336446846,144.95889073849375
-37.817253336446846,144.95889073849375
-37.817253336446846,144.95889073849375
-37.817253336446846,144.95889073849375
-37.817253336446846,144.95889073849375
-37.817253336446846,144.95889073849375
-37.817253336446846,144.95889073849375
-37.817253336446846,144.95889073849375
-37.817253336446846,144.95889073849375
-37.81553249263926,144.95948327253487
-37.814170537224186,144.95984820738846
-37.81491011918223,144.95826216876114
-37.815981935484736,144.9592972097331
-37.815981935484736,144.9592972097331
-37.815981935484736,144.9592972097331
-37.81723117401851,144.95925358536223
-37.81723117401851,144.95925358536223
-37.815376806309374,144.96000279854906
-37.815376806309374,144.96000279854906
-37.814093756914545,144.96065654486867
-37.814093756914545,144.96065654486867
-37.814354700137585,144.95952627559353
-37.81512809155657,144.95786773234326
-37.81667787787241,144.95859040957083
-37.81640568190324,144.96030898728347
-37.81640568190324,144.96030898728347
-37.81640568190324,144.96030898728347
-37.81640568190324,144.96030898728347
-37.81640568190324,144.96030898728347
-37.81640568190324,144.96030898728347
-37.81640568190324,144.96030898728347
-37.8154736398692,144.961419751726
-37.8154736398692,144.961419751726
-37.8154736398692,144.961419751726
-37.8154736398692,144.961419751726
-37.8154736398692,144.961419751726
-37.816254574223905,144.95966574444734
-37.816254574223905,144.95966574444734
-37.816254574223905,144.95966574444734
-37.816254574223905,144.95966574444734
-37.816254574223905,144.95966574444734
-37.81727883918056,144.95929294249112
-37.81778117375274,144.95834818856676
-37.81778117375274,144.95834818856676
-37.81778117375274,144.95834818856676
-37.81778117375274,144.95834818856676
-37.81778117375274,144.95834818856676
-37.816581173752745,144.95834818856676
-37.81562276586093,144.9590192729973
-37.8175339832336,144.95928787708215
-37.8175339832336,144.95928787708215
-37.8175339832336,144.95928787708215
-37.8175339832336,144.95928787708215
-37.8175339832336,144.95928787708215
-37.817929524986404,144.9580705247413
-37.816569207101395,144.959339041691
-37.816569207101395,144.959339041691
-37.816569207101395,144.959339041691
-37.81623017315374,144.960521393577
-37.81539573898535,144.96132719728675
-37.81539573898535,144.96132719728675
-37.81539573898535,144.96132719728675
-37.81432824647672,144.96297099159992
-37.81468696738803,144.96112553249503
-37.81597567418286,144.96057850891515
-37.81597567418286,144.96057850891515
-37.81597567418286,144.96057850891515
-37.81597567418286,144.96057850891515
-37.81439897351512,144.96160243030099
-37.81439897351512,144.96160243030099
-37.81439897351512,144.96160243030099
-37.81439897351512,144.96160243030099
-37.81486867934657,144.96015682439622
-37.815135811940095,144.96153110245305
-37.815135811940095,144.96153110245305
-37.815135811940095,144.96153110245305
-37.81608794882444,144.96017131005954
-37.81608794882444,144.96017131005954
-37.81548783089277,144.96145826711714
